seq us class
2164518831 1991 6
2164518832 1991 6
2164518833 1991 6
2164518834 1991 6
2164518836 1991 6
2164518837 1991 6
2164518838 1991 6
2164518839 1991 6
2164518840 1991 6
2164518841 1991 6
2164518842 1991 6
2164518843 1991 6
2164518844 1991 6
2164518846 1991 6
2164518847 1991 6
2164518848 1991 6
2164518849 1991 6
2164518850 1991 6
2164518851 1991 6
2164518852 1991 6
2164518853 1991 6
2164518869 1991 6
2164518870 1991 6
2164518871 1991 6
2164518872 1991 6
2164518873 1991 6
2164518874 1991 6
2164518875 1991 6
2164518876 1991 6
2164518877 1991 6
2164518878 1991 6
2164518879 1991 6
2164518880 1991 6
2164518881 1991 6
2164518882 1991 6
2164518883 1991 6
2164518885 1991 6
2164518886 1991 6
2164518887 1991 6
2164518888 1991 6
2164518889 1991 6
2164518890 1991 6
2164518891 1991 6
2164862212 2085 5
2164862214 2085 5
2164862216 2085 5
2164862311 2085 5
2164862312 2085 5
2164862313 2085 5
2164862314 2085 5
2164862315 2085 5
2164862358 2085 5
2164862401 2085 5
2164862493 2085 5
2164862495 2085 5
2164862498 2085 5
2164862502 2085 5
2164862507 2085 5
2164862509 2085 5
2164862512 2085 5
2164862514 2085 5
2164862517 2085 5
2164862520 2085 5
2164862524 2085 5
2164862526 2085 5
2164862530 2085 5
2164862533 2085 5
2164862535 2085 5
2164862540 2085 5
2164862542 2085 5
2164862545 2085 5
2164862546 2085 5
2164862548 2085 5
2164862551 2085 5
2164862552 2085 5
2164862553 2085 5
2164862555 2085 5
2164862556 2085 5
2164862557 2085 5
2164862559 2085 5
2164862560 2085 5
2164862561 2085 5
2164862563 2085 5
2164862564 2085 5
2164871534 2086 2
2164871536 2086 2
2164871685 2086 2
2164871768 2086 2
2164871769 2086 2
2164871770 2086 2
