seq us class
2119014896 1497 9
2119014900 1497 9
2119014901 1497 9
2119014904 1497 9
2119014905 1497 9
2119014906 1497 9
2119014917 1497 9
2119014918 1497 9
2119014919 1497 9
2119014921 1497 9
2119014922 1497 9
2119014924 1497 9
2119014925 1497 9
2119014932 1497 9
2119014933 1497 9
2119014938 1497 9
2119014939 1497 9
2119014943 1497 9
2119014944 1497 9
2119014946 1497 9
2119014947 1497 9
2119014948 1497 9
2119014949 1497 9
2119014950 1497 9
2119014951 1497 9
2119014960 1497 9
2119014961 1497 9
2119014966 1497 9
2119014967 1497 9
2119015007 1497 9
2119015008 1497 9
2119015010 1497 9
2119015011 1497 9
2119015012 1497 9
2119015013 1497 9
2119015014 1497 9
2119015015 1497 9
2119015046 1497 9
2119015047 1497 9
2119015049 1497 9
2119015050 1497 9
2119015051 1497 9
2119015052 1497 9
2119015054 1497 9
2119015055 1497 9
2119015066 1497 9
2119015067 1497 9
2119015069 1497 9
2119015070 1497 9
2119015076 1497 9
2119015077 1497 9
2119015078 1497 9
2119015083 1497 9
2119015085 1497 9
2119015086 1497 9
2119015090 1497 9
2119015091 1497 9
2119015093 1497 9
2119015094 1497 9
2119015095 1497 9
2119015096 1497 9
2119015097 1497 9
2119015098 1497 9
2119015110 1497 9
2119015111 1497 9
